symbol,symbolName,lastPrice,priceChange,percentChange,openPrice,highPrice,lowPrice,volume,tradeTime,symbolCode,hasOptions,symbolType,raw
"SLQT","Selectquote Inc","1.3200","-0.1300","-8.97%","1.4700","1.5500","1.2650","2,151,800","11/03/23","STK","Yes","1","[object Object]"
"SLRN","Acelyrin Inc","9.13","unch","unch","9.35","9.68","9.09","1,808,800","11/03/23","STK","Yes","1","[object Object]"
"SLVM","Sylvamo Corp","45.74","+0.38","+0.84%","46.03","46.60","45.39","324,200","11/03/23","STK","Yes","1","[object Object]"
"SM","Sm Energy Company","40.47","-0.66","-1.60%","41.02","41.62","39.89","2,779,000","11/03/23","STK","Yes","1","[object Object]"
"SMBC","Southern MO Bancorp","44.21","+1.16","+2.69%","43.59","44.49","42.61","17,000","11/03/23","STK","Yes","1","[object Object]"
"SMBK","Smartfinancial Inc","21.80","+0.57","+2.68%","21.75","22.02","21.73","23,600","11/03/23","STK","Yes","1","[object Object]"
"SMCI","Super Micro Computer","255.00","+9.10","+3.70%","249.36","268.59","248.32","5,000,000","11/03/23","STK","Yes","1","[object Object]"
"SMHI","Seacor Marine Holdings Inc","13.23","-0.40","-2.93%","13.83","14.62","13.15","141,300","11/03/23","STK","Yes","1","[object Object]"
"SMLR","Semler Scientific","30.48","+1.82","+6.35%","29.21","30.92","29.21","35,000","11/03/23","STK","No","1","[object Object]"
"SMMF","Summit Financial Gp","21.73","+0.14","+0.65%","21.90","21.90","21.70","59,200","11/03/23","STK","Yes","1","[object Object]"
"SMMT","Summit Therapeu ADR","2.01","+0.01","+0.50%","2.04","2.12","2.00","1,766,200","11/03/23","STK","Yes","1","[object Object]"
"SMP","Standard Motor Products","35.90","+0.18","+0.50%","36.17","36.51","35.70","116,000","11/03/23","STK","Yes","1","[object Object]"
"SMPL","The Simply Good Foods Company","37.54","+0.73","+1.98%","37.63","37.84","37.10","326,300","11/03/23","STK","Yes","1","[object Object]"
"SMR","Nuscale Power Corp","3.45","-0.03","-0.86%","3.60","3.65","3.37","2,035,600","11/03/23","STK","Yes","1","[object Object]"
"SMRT","Smartrent Inc","2.66","+0.16","+6.40%","2.58","2.70","2.56","1,357,600","11/03/23","STK","Yes","1","[object Object]"
"SMTC","Semtech Corp","14.72","+0.45","+3.15%","14.60","15.27","14.56","2,204,000","11/03/23","STK","Yes","1","[object Object]"
"SMTI","Sanara Medtech Inc","26.99","+0.09","+0.33%","27.00","27.49","26.57","12,200","11/03/23","STK","No","1","[object Object]"
"SNBR","Sleep Number Corp","16.73","+1.24","+8.01%","15.70","16.96","15.70","891,800","11/03/23","STK","Yes","1","[object Object]"
"SNCY","Sun Country Airlines Holdings Inc","13.75","+0.76","+5.85%","13.31","13.85","13.26","371,700","11/03/23","STK","Yes","1","[object Object]"
"SNDX","Syndax Pharma","14.80","+0.02","+0.14%","14.92","15.84","14.43","1,733,300","11/03/23","STK","Yes","1","[object Object]"
"SNEX","Stonex Group Inc","97.42","+2.44","+2.57%","96.48","98.28","96.48","43,000","11/03/23","STK","Yes","1","[object Object]"
"SNFCA","Security Natl Finl","7.36","+0.15","+2.08%","7.26","7.36","7.23","11,700","11/03/23","STK","No","1","[object Object]"
"SNPO","Snap One Holdings Corp","8.05","+0.31","+4.01%","7.91","8.31","7.81","32,200","11/03/23","STK","Yes","1","[object Object]"
"SOI","Solaris Oilfield Infrastructure Inc Cl A","9.31","unch","unch","9.37","9.53","9.28","131,600","11/03/23","STK","Yes","1","[object Object]"
"SONO","Sonos Inc","11.34","+0.23","+2.07%","11.32","11.40","11.09","1,803,800","11/03/23","STK","Yes","1","[object Object]"
"SOUN","Soundhound Ai Inc Cl A","1.8400","+0.1200","+6.98%","1.7700","1.8700","1.7600","6,459,300","11/03/23","STK","Yes","1","[object Object]"
"SOVO","Sovos Brands Inc","21.62","+0.01","+0.05%","21.63","21.70","21.61","634,400","11/03/23","STK","Yes","1","[object Object]"
"SP","SP Plus Corp","51.51","+0.51","+1.00%","50.88","51.52","50.88","300,700","11/03/23","STK","Yes","1","[object Object]"
"SPCE","Virgin Galactic Holdings Inc","1.8500","+0.1500","+8.82%","1.7200","1.8750","1.7100","14,698,900","11/03/23","STK","Yes","1","[object Object]"
"SPFI","South Plains Financial Inc","27.04","+0.34","+1.27%","26.98","27.21","26.82","43,300","11/03/23","STK","Yes","1","[object Object]"
"SPHR","Sphere Entertainment CO","36.49","+0.93","+2.62%","36.35","37.47","36.27","680,100","11/03/23","STK","Yes","1","[object Object]"
