symbol,symbolName,lastPrice,priceChange,percentChange,highPrice,lowPrice,volume,tradeTime,symbolCode,hasOptions,symbolType,raw
"AJG","Arthur J. Gallagher & Company","235.49","+1.76","+0.75%","236.75","233.33","908,925","18:30 ET","STK","Yes","1","[object Object]"
"AKAM","Akamai Technologies","103.33","+0.76","+0.74%","103.68","102.54","1,104,700","10/31/23","STK","Yes","1","[object Object]"
"ALB","Albemarle Corp","126.78","-0.63","-0.49%","127.35","123.17","6,599,021","18:30 ET","STK","Yes","1","[object Object]"
"ALGN","Align Technology","184.59","-2.15","-1.15%","189.54","183.50","1,210,700","10/31/23","STK","Yes","1","[object Object]"
"ALK","Alaska Air Group","31.63","-0.17","-0.53%","31.80","31.09","2,357,700","18:30 ET","STK","Yes","1","[object Object]"
"ALL","Allstate Corp","128.13","+2.66","+2.12%","128.64","125.63","2,475,025","18:30 ET","STK","Yes","1","[object Object]"
"ALLE","Allegion Plc","98.36","+0.65","+0.67%","104.99","95.97","2,026,904","18:30 ET","STK","Yes","1","[object Object]"
"AMAT","Applied Materials","132.35","+1.32","+1.01%","132.55","129.21","4,108,000","10/31/23","STK","Yes","1","[object Object]"
"AMCR","Amcor Plc","8.89","+0.03","+0.34%","8.95","8.82","11,649,883","18:30 ET","STK","Yes","1","[object Object]"
"AMD","Adv Micro Devices","98.50","+2.32","+2.41%","98.82","94.07","78,388,094","10/31/23","STK","Yes","1","[object Object]"
"AME","Ametek Inc","140.77","+0.65","+0.46%","143.41","136.89","1,428,608","18:30 ET","STK","Yes","1","[object Object]"
"AMGN","Amgen Inc","255.70","-7.49","-2.85%","257.42","249.70","4,884,600","10/31/23","STK","Yes","1","[object Object]"
